Timestamp,Symbol,Timeframe,Direction,SwingLow,SwingHigh,Ratio,LevelRaw,LevelRounded
18.09.2025 23:53:00,TON/USDT,5m,up,3.1542,3.1773,3.618,3.2377757999999996,3.24
18.09.2025 23:53:00,TON/USDT,5m,up,3.1542,3.1773,4.236,3.2520515999999993,3.25
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0,3.1542,3.15
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0.236,3.1596515999999997,3.16
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0.382,3.1630241999999997,3.16
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0.5,3.16575,3.17
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0.618,3.1684758,3.17
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,0.786,3.1723565999999996,3.17
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,1,3.1773,3.18
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,1.618,3.1915758,3.19
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,2.618,3.2146757999999998,3.21
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,3.618,3.2377757999999996,3.24
18.09.2025 23:53:00,TON/USDT,15m,up,3.1542,3.1773,4.236,3.2520515999999993,3.25
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0,3.1626,3.16
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0.236,3.1559448,3.16
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0.382,3.1518276,3.15
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0.5,3.1485,3.15
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0.618,3.1451724,3.15
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,0.786,3.1404348,3.14
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,1,3.1344,3.13
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,1.618,3.1169724,3.12
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,2.618,3.0887724,3.09
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,3.618,3.0605724,3.06
18.09.2025 23:53:01,TON/USDT,30m,down,3.1344,3.1626,4.236,3.0431448,3.04
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0,3.1163,3.12
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0.236,3.128336,3.13
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0.382,3.135782,3.14
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0.5,3.1418,3.14
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0.618,3.147818,3.15
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,0.786,3.156386,3.16
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,1,3.1673,3.17
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,1.618,3.198818,3.2
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,2.618,3.2498180000000003,3.25
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,3.618,3.3008180000000005,3.3000000000000003
18.09.2025 23:53:02,TON/USDT,1h,up,3.1163,3.1673,4.236,3.3323360000000006,3.33
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0,3.0506,3.0500000000000003
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0.236,3.0841828000000002,3.08
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0.382,3.1049586000000002,3.1
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0.5,3.12175,3.12
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0.618,3.1385414,3.14
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,0.786,3.1624478,3.16
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,1,3.1929,3.19
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,1.618,3.2808413999999995,3.2800000000000002
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,2.618,3.423141399999999,3.42
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,3.618,3.5654413999999988,3.5700000000000003
18.09.2025 23:53:03,TON/USDT,4h,up,3.0506,3.1929,4.236,3.653382799999999,3.65
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0,4578,4578
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0.236,4588.12676,4588.13
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0.382,4594.39162,4594.39
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0.5,4599.455,4599.46
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0.618,4604.5183799999995,4604.52
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,0.786,4611.72726,4611.7300000000005
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,1,4620.91,4620.91
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,1.618,4647.428379999999,4647.43
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,2.618,4690.338379999999,4690.34
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,3.618,4733.248379999999,4733.25
18.09.2025 23:53:04,ETH/USDT,5m,up,4578,4620.91,4.236,4759.7667599999995,4759.77
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0,4578,4578
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0.236,4588.12676,4588.13
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0.382,4594.39162,4594.39
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0.5,4599.455,4599.46
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0.618,4604.5183799999995,4604.52
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,0.786,4611.72726,4611.7300000000005
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,1,4620.91,4620.91
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,1.618,4647.428379999999,4647.43
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,2.618,4690.338379999999,4690.34
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,3.618,4733.248379999999,4733.25
18.09.2025 23:53:05,ETH/USDT,15m,up,4578,4620.91,4.236,4759.7667599999995,4759.77
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0,4634.84,4634.84
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0.236,4616.03788,4616.04
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0.382,4604.40606,4604.41
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0.5,4595.005,4595.01
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0.618,4585.60394,4585.6
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,0.786,4572.2193800000005,4572.22
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,1,4555.17,4555.17
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,1.618,4505.93394,4505.93
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,2.618,4426.26394,4426.26
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,3.618,4346.59394,4346.59
18.09.2025 23:53:05,ETH/USDT,30m,down,4555.17,4634.84,4.236,4297.35788,4297.36
18.09.2025 23:53:06,ETH/USDT,1h,up,4555.17,4642.6,0,4555.17,4555.17
