ts,event,symbol,timeframe,side,entry,stop,tp,confidence,status,reason,raw
"2025-09-19T22:33:57.544Z","proposal","SOL/USDT","5m","long",239.501,239.483,240.5,0.65,"open","LONG: rr=55.17 anchor=vwap@239.501053","{""id"":""mthrcfx"",""side"":""long"",""entry"":239.5010525763598,""stop"":239.48294434264898,""tp"":240.5,""confidence"":0.65,""reason"":""LONG: anchor=vwap@239.501053, liqBelow{dAtr:0.00,dens:n/a}, rr=55.17, atrPct=0.05, -trend,trapped:none,session:верх"",""status"":""open"",""basisTf"":""5m"",""createdAt"":1758321237539}"
"2025-09-21T16:25:14.261Z","proposal","SOL/USDT","5m","short",239.221,239.243,234.99,0.65,"open","SHORT: rr=190.10 anchor=vwap@239.220513","{""id"":""w3bw27m"",""side"":""short"",""entry"":239.22051268349915,""stop"":239.24276698600025,""tp"":234.99,""confidence"":0.65,""reason"":""SHORT: anchor=vwap@239.220513, liqAbove{dAtr:0.00,dens:n/a}, rr=190.10, atrPct=0.05, -trend,trapped:none,session:низ"",""status"":""open"",""basisTf"":""5m"",""createdAt"":1758471914258}"
