timestamp,symbol,timeframe,nearAbove,nearBelow,atr,price,ratio,skew,touchAbove,touchBelow,absAbove,absBelow,midBias,skewSma10
2025-09-18T20:58:16.877Z,SOL/USDT,1m,0.28566558790769464,0.476109313179446,0.21003579898951533,248.38,0.6000000000000568,0.24999999999995562,0,0,0.060000000000002274,0.09999999999999432,0.15624999999996672,0.24999999999995562
2025-09-18T20:58:38.915Z,SOL/USDT,1m,0.28566558790769464,0.476109313179446,0.21003579898951533,248.38,0.6000000000000568,0.24999999999995562,0,0,0.060000000000002274,0.09999999999999432,0.15624999999996672,0.24999999999995562
2025-09-18T20:58:40.840Z,SOL/USDT,3m,0.33764491825317916,0.5852511916388012,0.4442536875011692,248.45,0.576923076923119,0.2682926829267955,0,0,0.15000000000000568,0.2599999999999909,0.17013682331942673,0.2682926829267955
2025-09-18T20:58:47.810Z,SOL/USDT,3m,0.33764491825317916,0.5852511916388012,0.4442536875011692,248.45,0.576923076923119,0.2682926829267955,0,0,0.15000000000000568,0.2599999999999909,0.17013682331942673,0.2682926829267955
2025-09-18T20:58:49.737Z,SOL/USDT,5m,0.44940276529763384,0.417302567776358,0.6230491256869785,248.45,1.076923076923119,-0.03703703703705653,0,0,0.28000000000000114,0.2599999999999909,-0.019204389574770414,-0.03703703703705653
2025-09-18T20:58:56.856Z,SOL/USDT,5m,0.44940276529763384,0.417302567776358,0.6230491256869785,248.45,1.076923076923119,-0.03703703703705653,0,0,0.28000000000000114,0.2599999999999909,-0.019204389574770414,-0.03703703703705653
2025-09-18T20:58:58.789Z,SOL/USDT,15m,0.410568232981065,0.5530102729948908,1.1934678833825105,248.44,0.74242424242426,0.1478260869565102,0,0,0.4900000000000091,0.6599999999999967,0.08483931947069195,0.1478260869565102
2025-09-18T20:59:05.801Z,SOL/USDT,15m,0.410568232981065,0.5530102729948908,1.1934678833825105,248.44,0.74242424242426,0.1478260869565102,0,0,0.4900000000000091,0.6599999999999967,0.08483931947069195,0.1478260869565102
2025-09-18T20:59:07.748Z,SOL/USDT,30m,0.3200486016935527,0.5555560633171187,1.6559984864657444,248.4,0.5760869565217305,0.2689655172413863,0,0,0.5300000000000011,0.9200000000000159,0.17065398335315637,0.2689655172413863
2025-09-18T20:59:14.761Z,SOL/USDT,30m,0.3200486016935527,0.5555560633171187,1.6559984864657444,248.4,0.5760869565217305,0.2689655172413863,0,0,0.5300000000000011,0.9200000000000159,0.17065398335315637,0.2689655172413863
2025-09-18T20:59:16.759Z,SOL/USDT,1h,2.1313634013291134,0.48668928061845634,2.3834508919652726,248.41,4.379310344827609,-0.6282051282051299,0,0,5.0800000000000125,1.1599999999999966,-0.5114234056541768,-0.6282051282051299
2025-09-18T20:59:31.558Z,SOL/USDT,1h,2.1313634013291134,0.48668928061845634,2.3834508919652726,248.41,4.379310344827609,-0.6282051282051299,0,0,5.0800000000000125,1.1599999999999966,-0.5114234056541768,-0.6282051282051299
2025-09-18T20:59:34.159Z,SOL/USDT,4h,0.25569232562111505,1.3027083141558244,4.536702449642205,248.39,0.19627749576988593,0.6718528995756659,0,0,1.160000000000025,5.909999999999997,0.5616196091219477,0.6718528995756659
2025-09-18T20:59:49.078Z,SOL/USDT,4h,0.25569232562111505,1.3027083141558244,4.536702449642205,248.39,0.19627749576988593,0.6718528995756659,0,0,1.160000000000025,5.909999999999997,0.5616196091219477,0.6718528995756659
2025-09-18T20:59:53.291Z,TON/USDT,1m,1.162059330288868,2.4135078398305123,0.0011187036376851095,3.1759,0.4814814814815241,0.3499999999999612,0,0,0.0013000000000000789,0.0026999999999999247,0.23624999999996701,0.3499999999999612
2025-09-18T21:00:16.459Z,TON/USDT,1m,1.162059330288868,2.4135078398305123,0.0011187036376851095,3.1759,0.4814814814815241,0.3499999999999612,0,0,0.0013000000000000789,0.0026999999999999247,0.23624999999996701,0.3499999999999612
2025-09-18T21:00:18.379Z,TON/USDT,3m,0.4638837206121773,0,0.0028024264319612188,3.1738,,-1,0,1,0.0013000000000000789,0,-1,-1
2025-09-18T21:00:25.393Z,TON/USDT,3m,0.4638837206121773,0,0.0028024264319612188,3.1738,,-1,0,1,0.0013000000000000789,0,-1,-1
2025-09-18T21:00:27.328Z,TON/USDT,5m,0.4479988859389819,0.2371758807913152,0.003794652293468277,3.1737,1.888888888888176,-0.3076923076921369,0,0,0.0016999999999995907,0.0009000000000001229,-0.20118343195252478,-0.3076923076921369
