ts,symbol,timeframe,rrMin,atrPctRiskMin,atrPctRiskMax,driftMaxAdj,driftHard,spreadMaxRiskRatio,adxHardRejectBelow,n,stopRate,tpRate,nearRate,noFollowRate,avgR,proposeNoneRate,proposeNoneN,proposeNoneTop,proposeNoneSilenceMs
2025-09-21T19:11:58.249Z,XRP_USDT,1m,1.35,0.24,0.82,0.35,0.6,0.12,12,0,0,0,0,0,0,,,,
2025-09-21T19:12:05.937Z,XRP_USDT,3m,1.45,0.24,0.75,0.34,0.6,0.12,13,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:12:13.518Z,XRP_USDT,5m,1.55,0.25,0.68,0.33,0.58,0.12,14,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:12:21.089Z,XRP_USDT,15m,1.65,0.24,0.6,0.3,0.55,0.13,15,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:12:28.588Z,XRP_USDT,30m,1.7,0.26,0.58,0.28,0.49,0.14,17,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:12:36.085Z,XRP_USDT,1h,1.8,0.25,0.55,0.26,0.46,0.15,18,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:12:45.730Z,XRP_USDT,4h,1.9,0.26,0.5,0.24,0.42,0.16,20,0,0,0,0,0,0,0,0,,Infinity
