ts,symbol,timeframe,rrMin,atrPctRiskMin,atrPctRiskMax,driftMaxAdj,driftHard,spreadMaxRiskRatio,adxHardRejectBelow,n,stopRate,tpRate,nearRate,noFollowRate,avgR,proposeNoneRate,proposeNoneN,proposeNoneTop,proposeNoneSilenceMs
2025-09-21T19:08:58.859Z,TON_USDT,1m,1.35,0.24,0.87,0.36,0.6,0.13,10,0,0,0,0,0,0,1,1,price=3.1759;atr=0.0011;adx=13.03,252522397
2025-09-21T19:09:06.505Z,TON_USDT,3m,1.45,0.24,0.8,0.35,0.6,0.135,12,0,0,0,0,0,0,1,1,price=3.1738;atr=0.0028;adx=24.17,252521106
2025-09-21T19:09:14.115Z,TON_USDT,5m,1.55,0.25,0.7300000000000001,0.34,0.58,0.13999999999999999,14,0,0,0,0,0,0,1,1,price=3.1737;atr=0.0038;adx=21.67,252519735
2025-09-21T19:09:21.645Z,TON_USDT,15m,1.65,0.24,0.64,0.32,0.55,0.15,15,0,0,0,0,0,0,1,1,price=3.1737;atr=0.0073;adx=10.69,252518194
2025-09-21T19:09:29.115Z,TON_USDT,30m,1.7,0.26,0.62,0.29,0.49,0.14500000000000002,16,0,0,0,0,0,0,1,1,price=3.1740;atr=0.0115;adx=18.67,252516507
2025-09-21T19:09:37.543Z,TON_USDT,1h,1.72,0.25,0.6100000000000001,0.31,0.46,0.16999999999999998,15,0,0,0,0,0,0,1,1,price=3.1756;atr=0.0172;adx=14.61,252500807
2025-09-21T19:09:46.887Z,TON_USDT,4h,1.8,0.26,0.58,0.3,0.42,0.19,16,0,0,0,0,0,0,1,1,price=3.1757;atr=0.0367;adx=15.97,252500265
