ts,symbol,timeframe,rrMin,atrPctRiskMin,atrPctRiskMax,driftMaxAdj,driftHard,spreadMaxRiskRatio,adxHardRejectBelow,n,stopRate,tpRate,nearRate,noFollowRate,avgR,proposeNoneRate,proposeNoneN,proposeNoneTop,proposeNoneSilenceMs
2025-09-21T19:10:58.530Z,BNB_USDT,1m,1.35,0.24,0.87,0.36,0.6,0.13,10,0,0,0,0,0,0,1,1,price=988.1200;atr=0.2364;adx=22.24,252449695
2025-09-21T19:11:06.430Z,BNB_USDT,3m,1.45,0.24,0.8,0.35,0.6,0.135,12,0,0,0,0,0,0,1,1,price=988.0100;atr=0.5558;adx=19.92,252447983
2025-09-21T19:11:14.380Z,BNB_USDT,5m,1.55,0.25,0.7300000000000001,0.34,0.58,0.13999999999999999,14,0,0,0,0,0,0,1,1,price=988.0200;atr=0.8365;adx=28.67,252446872
2025-09-21T19:11:21.828Z,BNB_USDT,15m,1.65,0.24,0.64,0.32,0.55,0.15,15,0,0,0,0,0,0,1,1,price=988.0200;atr=1.9826;adx=32.53,252445334
2025-09-21T19:11:29.328Z,BNB_USDT,30m,1.7,0.26,0.62,0.29,0.49,0.14500000000000002,16,0,0,0,0,0,0,1,1,price=988.0100;atr=3.5481;adx=27.87,252443557
2025-09-21T19:11:36.788Z,BNB_USDT,1h,1.8,0.25,0.55,0.26,0.46,0.15,18,0,0,0,0,0,0,0,0,,Infinity
2025-09-21T19:11:46.164Z,BNB_USDT,4h,1.9,0.26,0.5,0.24,0.42,0.16,20,0,0,0,0,0,0,0,0,,Infinity
